npc_name,gender,age,accent,descriptives,use_cases,confidence,reasoning
Fenn,male,middle_aged,british,calm|grumpy|soft,characters_animation,medium,"A resigned, dignified beggar with dry wit and quiet bitterness, neither fully hopeless nor cheerful."
Feridwyn,male,middle_aged,british,formal|calm|serious,characters_animation,high,"Feridwyn is a pious, formal Fellowship shelter operator who speaks in measured, moralistic tones with clear authority and composure."
Ferryman,male,old,british,raspy|deep|meditative,characters_animation,high,"Ancient skeletal ferryman with slow, ethereal speech patterns demands a deep, raspy, meditative voice evoking undead weariness and timeless duty."
Figg,male,middle_aged,british,sassy|confident|grumpy,characters_animation,high,"Figg is a self-important, petty gatekeeper who alternates between snobbish condescension and crooked Fellowship scheming, demanding a smug, sharp British delivery."
Finnigan,male,middle_aged,british,formal|serious|confident,characters_animation,high,"Finnigan is a formal, dutiful mayor speaking in archaic Britannian prose, fitting a serious, authoritative British male voice."
Fodus,male,middle_aged,british,raspy|rough|anxious,characters_animation,high,"Sickly, delirious gargoyle miner addicted to venom; raspy and rough voice with anxious, deteriorating delivery suits his diseased, drugged state."
For Lem,male,middle_aged,standard,calm|gentle|wise,characters_animation,high,"For-Lem is a thoughtful, soft-spoken gargoyle scholar-figure who speaks in ritualistic infinitive constructions, conveying gentle wisdom and cultural pride."
Foranamo,male,middle_aged,british,grumpy|intense|rough,characters_animation,high,"Foranamo is an angry, hostile gargoyle miner who is openly menacing and aggressive toward humans, demanding a rough, intense voice."
Forbrak,male,middle_aged,british,calm|formal|neutral,characters_animation,medium,"Gargoyle speech uses ritualistic infinitive constructions suggesting measured, formal, calm delivery with a neutral fantastical tone."
Forskis,male,middle_aged,british,intense|rough|raspy,characters_animation,medium,"Wingless gargoyle minion whose only line is a savage battle cry demands an intense, rough, aggressive voice."
Forsythe,male,middle_aged,british,anxious|formal|soft,characters_animation,high,"Forsythe is a cowering, anxious ghost of a middle-aged mayor who speaks in archaic formal Britannian English while showing fearful, wavering resolve."
Frank,male,middle_aged,british,sassy|confident|calm,characters_animation,high,"Frank is a witty, sardonic talking fox who delivers cutting observations with composed, eloquent self-assurance and a scholarly Britannian tone."
Fred,male,middle_aged,british,pleasant|casual|calm,characters_animation,medium,"Fred is a friendly market farmer whose welcoming, easygoing sales dialog suits a pleasant, casual, calm British tradesman voice."
Gargan,male,old,british,raspy|rough|casual,characters_animation,high,"Elderly, pipe-smoking shipwright with a lung ailment; raspy and rough voice fits his sickly, weathered sea-trade character perfectly."
Garok,male,middle_aged,british,anxious|intense|grumpy,characters_animation,high,"A frazzled, lost mage prone to outbursts and self-argument needs an anxious, intense delivery with classic Britannian British tones."
Garritt,male,young,british,confident|upbeat|casual,characters_animation,high,"Young boy, self-assured and preachy with Fellowship dogma, excitable about panpipes, yet capable of guilty pleading when caught."
Gaye,female,middle_aged,british,pleasant|upbeat|casual,characters_animation,high,"Gaye is a cheerful, friendly shopkeeper and Fellowship devotee with an enthusiastic, welcoming demeanor throughout her dialog."
Geoffrey,male,old,british,confident|mature|deep,characters_animation,high,"Veteran warrior and centuries-old Captain of the Guard; commands authority with a deep, confident, seasoned British military bearing."
Gharl,male,middle_aged,british,grumpy|rough|deep,characters_animation,high,"Gharl is a growling, imprisoned troll with broken speech patterns, clearly needing a deep, rough, grumpy voice."
Gilberto,male,middle_aged,british,grumpy|rough|serious,characters_animation,high,"Described explicitly as grumpy, injured, and stoic — a weathered gate guard with a no-nonsense, rough demeanor."
Gladstone,male,middle_aged,british,confident|intense|calm,characters_animation,high,"Guild head craftsman described as handsome with intense piercing gaze, treating strangers warmly but asserting authority when threatened."
Glenno,male,middle_aged,british,sassy|confident|pleasant,characters_animation,high,"Glenno is a charming, flirtatious bathhouse manager with a roguish, salesman-like charisma and mischievous air."
Gordon,male,middle_aged,british,upbeat|casual|confident,characters_animation,high,"Enthusiastic Fellowship member and street vendor with a friendly, salesman energy and hopeful ambitions toward Buccaneer's Den gambling."
Gordy,male,middle_aged,british,grumpy|confident|rough,characters_animation,high,"Gordy is a scheming, threatening gambling house overseer with a roguish pirate-isle personality — gruff, self-important, and intimidating."
Gorn,male,middle_aged,german,intense|confident|rough,characters_animation,high,"Gorn's dialog is heavily phonetically spelled to convey a thick Germanic accent, and his warrior personality reads as intense and rough."
Goth,male,middle_aged,british,grumpy|rough|confident,characters_animation,high,"Corrupt, greedy prison guard who speaks with cruel contempt and mockery, demanding bribes and insulting the player."
Grayson,male,middle_aged,british,confident|casual|upbeat,characters_animation,high,"Shrewd, Fellowship-devoted merchant who transformed from timid to aggressively cheerful and salesman-like."
Greg,male,middle_aged,british,grumpy|casual|confident,characters_animation,high,"Greg is a suspicious, chatty British shopkeeper who oscillates between flustered embarrassment and self-important boasting about his royal supplier status."
Gregor,male,middle_aged,british,formal|confident|serious,characters_animation,high,"Corporate director who speaks with authoritative, formal British diction, promoting BMC while dismissing dissenters with composed superiority."
Grod,male,middle_aged,british,rough|grumpy|deep,characters_animation,high,"Troll enforcer-torturer with broken speech patterns, brutish pride, and menacing demeanor suits a deep, rough, grumpy voice."
Guard,male,middle_aged,british,serious|confident|grumpy,characters_animation,high,"A rigid, honor-obsessed Trinsic guard with disciplinarian speech patterns and dismissive authority suits a serious, confident British male voice."
Guardian,male,old,british,deep|intense|confident,characters_animation,high,"The Guardian is a titanic, malevolent interdimensional villain requiring a commanding, deep, theatrically intense voice with gravitas."
Henry,male,young,british,anxious|pleasant|casual,characters_animation,medium,"Henry is a lovesick young peddler, emotionally distressed over a lost locket, suggesting an earnest, slightly anxious and pleasant demeanor."
Hook,male,middle_aged,british,intense|rough|confident,characters_animation,medium,"Hook is a cold, brutal assassin and Fellowship enforcer, fitting an intense, rough, confident British-accented male voice."
Horance,male,old,british,intense|formal|mature,characters_animation,high,"Horance is an ancient undead liche mage with haughty sardonic menace, fitting an intense, formal, mature British aristocratic delivery."
Horffe,male,middle_aged,british,serious|formal|deep,characters_animation,high,"Gargoyle captain of the guard with stern, dutiful demeanor and formal infinitive speech pattern suits a deep, serious military voice."
Ian,male,young,british,pleasant|calm|confident,characters_animation,high,"Ian is a young, charming, genial Fellowship director whose dialog is warm, composed, and authoritatively welcoming — fitting a pleasant, calm, confident voice."
Inforlem,male,middle_aged,standard,serious|formal|deep,characters_animation,medium,"Gargoyle trainer speaks in formal, ritualistic infinitive constructions suggesting a deep, serious, non-human cadence distinct from standard Britannian British."
Inmanilem,male,middle_aged,standard,calm|formal|gentle,characters_animation,high,"Gargoyle healer speaks in the distinctive infinitive-based gargoyle dialect, suggesting a measured, formal, and calm delivery with a neutral non-British accent."
Inwisloklem,male,old,british,formal|wise|calm,characters_animation,medium,"Elder gargoyle diplomat and council member speaks in a formal, ritualistic syntax suggesting a wise, measured, dignified tone."
Iolo,male,old,british,pleasant|confident|casual,characters_animation,high,"Iolo is a centuries-old jovial bard and adventurer, warm and witty with a classic Britannian noble-yet-folksy demeanor."
Iriale,female,young,british,intense|confident|serious,characters_animation,high,"Fierce guard who issues blunt threats and demands, conveying intense warrior confidence with a classic Britannian tone."
Iskander,male,old,british,wise|deep|calm,characters_animation,high,"Ancient cyclops hero, nearly a century old, speaks with formal eloquence, philosophical self-awareness, and measured gravitas befitting a legendary wanderer."
Jaana,female,middle_aged,british,calm|confident|wise,characters_animation,high,"Jaana is a seasoned druid companion — composed, authoritative, and gently witty, fitting a calm, wise British female voice."
Jakher,male,middle_aged,british,confident|serious|calm,characters_animation,high,"Stern military trainer who speaks with measured authority, strategic wit, and disciplined self-assurance suits a confident, serious British male voice."
James,male,young,british,grumpy|anxious|casual,characters_animation,high,"James is a young, reluctant innkeeper who complains constantly about his job and marriage, conveying grumpy anxiety with casual British speech."
Jeanette,female,young,british,pleasant|upbeat|casual,characters_animation|conversational,high,"Young barmaid who is cheerful, flirtatious, and friendly, giggling and offering discounts in a warm tavern setting."
Jehanne,female,young,british,gentle|anxious|soft,characters_animation,high,"Jehanne is a devoted, emotionally conflicted young noblewoman who speaks with trembling vulnerability and barely suppressed distress about her husband."
Jergi,male,middle_aged,german,wise|mature|calm,characters_animation,high,"Gypsy king with heavy Eastern European accent (v/w substitution), bearing a sorrowful dignity and leadership responsibility."
Jesse,male,middle_aged,british,confident|formal|intense,characters_animation,medium,"Self-important theatrical British actor prone to grand pronouncements and falsetto; confident, formal, and intensely performative delivery suits him."
Jillian,female,middle_aged,received pronunciation,professional|formal|wise,characters_animation,high,"Jillian is a refined Lycaeum scholar and trainer who speaks formally and authoritatively, fitting a polished, educated British tone."
John Paul,male,middle_aged,british,formal|calm|mature,characters_animation,high,"Noble ruler of a paladin fortress; dialog is courteous, formal, and measured, befitting a refined British lord."
Johnson,male,middle_aged,british,serious|confident|formal,characters_animation,high,"Dutiful gate guard with formal, rule-bound speech patterns suits a serious, confident British male voice."
Jordan,male,middle_aged,british,confident|sassy|calm,characters_animation,high,"Jordan is a sarcastic, self-assured knight shopkeeper whose patronizing wit and formal speech suit a confident, sassy British male voice."
Joseph,male,young,british,confident|formal|calm,characters_animation,high,"Young mayor of a warrior town who balances administrative authority with swordsmanship, projecting composed, self-assured formality despite his youth."
Judith,female,middle_aged,british,pleasant|sad|calm,characters_animation,high,"Judith is a passionate but emotionally burdened music teacher, warm and pleasant yet tinged with quiet sadness over her troubled marriage."
Julia,female,middle_aged,british,confident|serious|mature,characters_animation,high,"Julia is a centuries-old veteran companion, pragmatic and direct, with a measured, no-nonsense tone fitting a seasoned tinker-adventurer."
Kallibrus,male,middle_aged,british,calm|formal|deep,characters_animation,high,"Gargish mercenary speaks in formal infinitive-heavy dialect, reserved demeanor suits a calm, deep, formal tone."
Karenna,female,middle_aged,british,confident|sassy|calm,characters_animation,high,"Karenna is a self-assured female combat trainer who speaks with dry wit, light flirtation, and confident authority."
Karl,male,middle_aged,british,grumpy|rough|intense,characters_animation,high,"Karl is a cantankerous, bitter hermit with a strong disdain for society, demanding a gruff, rough, and intensely irritable voice."
Katrina,female,middle_aged,british,gentle|pleasant|calm,characters_animation,high,"Katrina is a kind, longtime companion speaking with gracious warmth—gentle, pleasant, and calm in her Britannian demeanor."
Kelly,female,middle_aged,british,pleasant|calm|confident,characters_animation,high,"Sturdy, hospitable farmer's wife running a market stall; pleasant and grounded with a welcoming, no-nonsense demeanor."
Kessler,male,middle_aged,british,professional|calm|serious,characters_animation,high,"Kessler is a scholarly apothecary working for Lord British, speaking in measured, clinical tones about poisons and research."
Kissme,female,young,british,excited|cute|upbeat,characters_animation,high,"Kissme is an exuberant, giggling fairy who speaks in rapid, repetitive exclamations of love and wonder, demanding a bright, bubbly, childlike voice."
Kliftin,male,old,british,grumpy|rough|mature,characters_animation,high,"Retired soldier running an armory; weary, hardened tone with dismissive gruffness about war and dueling madness fits grumpy and rough."
Klog,male,middle_aged,british,pleasant|calm|confident,characters_animation,high,"Klog is a charismatic, outwardly genial Fellowship leader who masks sinister intent behind warm, composed, persuasive rhetoric."
Komor,male,middle_aged,british,grumpy|raspy|rough,characters_animation,high,"Bitter, sharp-tongued crippled beggar with sardonic wit and clear resentment; raspy and rough tone fits his hardscrabble existence."
Kreg,male,middle_aged,british,calm|casual|confident,characters_animation,medium,"Kreg poses as a studious monk but is secretly a criminal, requiring a deceptively calm and casual demeanor with measured confidence."
Kristy,female,young,british,cute|upbeat|soft,characters_animation,high,"Kristy is a toddler foundling whose dialog is simple, playful, and enthusiastic, requiring a cute, soft young child voice."
Lap Lem,male,middle_aged,standard,calm|sad|gentle,characters_animation,high,"Gargoyle speech pattern is formal and melancholic, reflecting isolation and longing; non-human warrants neutral standard accent over British."
Lasher,neutral,old,british,wise|anxious|formal,characters_animation,high,"Ancient, intelligent unicorn speaks in formal archaic tone with weary wisdom and nervous sensitivity about physical contact."
Leavell,male,middle_aged,british,rough|confident|intense,characters_animation,high,"Leavell is a dangerous ruffian bodyguard who casually balances daggers and brags about criminal exploits, suggesting a rough, confident, intimidating male voice."
Leigh,female,middle_aged,british,calm|gentle|professional,characters_animation,high,"A composed, courteous healer in a paladin fortress, speaking with measured grace and formal Britannian courtesy."
Liana,female,young,british,professional|sassy|serious,characters_animation,high,"Liana is a prim, judgmental clerk with sharp opinions about townsfolk, suggesting a proper but subtly catty professional demeanor."
Lord British,male,middle_aged,received pronunciation,wise|formal|mature,characters_animation|narrative_story,high,"Lord British is a regal, long-ruling sovereign speaking in archaic formal English, demanding a distinguished, authoritative RP British tone."
Lord Heather,male,old,british,formal|pleasant|mature,characters_animation,high,"A regal, well-liked mayor who speaks in formal Britannian dialect with warmth and civic pride suits a distinguished elderly British gentleman."
Lucky,male,middle_aged,british,confident|casual|raspy,characters_animation,high,"Boisterous, self-assured pirate trainer who laughs loudly and boasts of worldly experience; swaggering yet charismatic rogue energy."
Lucy,female,middle_aged,british,pleasant|upbeat|casual,characters_animation,high,"Lucy is a jovial, warm fifties tavern owner who laughs freely, flirts playfully, and welcomes guests with cheerful enthusiasm."
Mack,male,middle_aged,british,anxious|intense|casual,characters_animation,high,"Rural chicken farmer obsessed with star creatures, speaking with nervous urgency and desperation to be believed."
Magenta,female,middle_aged,british,confident|pleasant|sassy,characters_animation,medium,"Magenta is a self-composed but emotionally expressive mayor with a feisty, pleasant demeanor and occasional fiery outbursts about her roguish husband."
Malloy,male,middle_aged,british,confident|casual|grumpy,characters_animation,medium,"Malloy is a self-important, bumbling miner with a pompous smirk, fitting a confident yet casually grumpy British comic character."
Mama,female,middle_aged,british,grumpy|rough|casual,characters_animation,medium,"Mama is a blunt, emotionally expressive cyclops woman — feisty and loving but quick to anger, suggesting a rough yet casual maternal voice."
Mandy,female,middle_aged,british,casual|sassy|confident,characters_animation,high,"Tavern keeper on a pirate island, gossipy and witty with a sharp tongue and knowing humor about her rough clientele."
Mara,female,middle_aged,british,grumpy|rough|confident,characters_animation,high,"Mara is a well-muscled, hot-tempered miner with a blunt, hostile attitude toward gargoyles, suggesting a rough, gruff female voice."
Margareta,female,middle_aged,romanian,wise|calm|meditative,characters_animation,high,"Gypsy fortune-teller with heavy Eastern European accent (v/w substitution), mystical and composed demeanor fitting a drabarni seer."
Mariah,female,middle_aged,british,pleasant|gentle|soft,characters_animation,medium,"Mariah is a refined, warm mage who seems mentally distracted yet kindly, suggesting a soft and pleasant demeanor with classic Britannian speech."
Markham,male,old,british,grumpy|casual|raspy,characters_animation,high,"Markham is a corpulent ghost barkeep with slurred, folksy speech and a weathered, jovial-but-worn undead tavern-keeper persona."
Markus,male,middle_aged,british,grumpy|confident|casual,characters_animation,high,"Markus is a bored, gruff combat trainer who speaks curtly and yawns frequently, suggesting a weary, no-nonsense demeanor."
Martine,female,young,british,sassy|pleasant|confident,characters_animation,high,"Martine is a flirtatious, charming hostess whose playful winks and honey-sweet dialog call for a sassy, confident, pleasant female voice."
Martingo,male,middle_aged,british,sassy|grumpy|casual,characters_animation,medium,"Martingo is a delusional, pompous self-styled sultan who giggles conspiratorially and speaks with theatrical dismissiveness, fitting sassy and grumpy tones."
