# Chinese translations of the journal auto-notes.
# Missing entries fall back to the English text in autonotes.txt.
# [npc=...] names are the game's English names; they double as a search key.

0x5: 我现在可以驾船出海了。
0x3C: 我知道马斯滕已准许我通行。[npc=Marsten]
0x3D: 布伦丹提出了一个提议。[npc=Brendann]
0x3E: 我有了狼的纹身。
0x3F: 布伦丹称赞了我的纹身。[npc=Brendann]
0x41: 我击败了卢瑟。[npc=Luther]
0x42: 我问过卢瑟关于恶霸的事。[npc=Luther]
0x43: 卢瑟向我发起了挑战。[npc=Luther]
0x44: 地精西蒙死了。[npc=Simon]
0x45: 我找到了那个棕色瓶子。
0x46: 我知道了关于地精袭击的事。
0x47: 我治好了坎特拉。[npc=Cantra]
0x48: 我已成为骑士。
0x4A: 我杀死了一匹狼。
0x4C: 我把骨灰瓮还给了卡拉丁。[npc=Caladin]
0x4E: 我知道克雷格常出入树林。[npc=Krayg]
0x53: 我在追求露西拉。[npc=Lucilla]
0x54: 我接受了露西拉的求婚。[npc=Lucilla]
0x55: 我知道了露西拉与斯佩克托的事。[npc=Lucilla,Spektor]
0x56: 我听说巴特林是小偷。[npc=Batlin]
0x57: 我听说了火葬的事。
0x58: 我问过安德拉尔关于抢劫案的事。[npc=Andral]
0x59: 我听说了威尔弗雷德的事。[npc=Wilfred]
0x5A: 我解了莉迪亚的毒。[npc=Lydia]
0x5B: 我答应去找坎特拉。[npc=Cantra]
0x5F: 我知道那棕色瓶子里是福恩麦酒。
0x69: 我与克雷格谈过叛徒马斯滕的事。[npc=Krayg]
0x72: 卡拉丁死了。[npc=Caladin]
0x76: 我知道了瓦罗叶的事。
0x78: 伊欧洛列出了一份装备清单。[npc=Iolo]
0x79: 我知道坎特拉失踪了。[npc=Cantra]
0x7A: 塞琳娜生气地带走了渔网袜。[npc=Selina]
0x7B: 渔网袜被夺走了。
0x7C: 我知道了渔网袜的来历。
0x7D: 我把狼皮送给了塞莉亚。[npc=Celia]
0x7E: 我有了狼皮斗篷。
0x7F: 我知道了监视者城的氏族情况。
0x80: 我问过斯梅德关于测试的事。[npc=Shmed]
0x82: 我开始了骑士测试。
0x83: 我正在进行监视者城的训练。
0x8A: 我获得了格瓦尼斗篷。
0x8B: 我目睹了坎特拉被绑架。[npc=Cantra]
0x8C: 我知道巴特林抓走了坎特拉。[npc=Batlin,Cantra]
0x8D: 我问过斯坦达尔关于布伦特的事。[npc=Standarr]
0x8E: 我知道巴特林来过监视者城。[npc=Batlin]
0x8F: 我问过露西拉关于安德拉尔的事。[npc=Lucilla]
0x90: 我拒绝归还骨灰瓮。
0x91: 我把狼皮送给了露西拉。[npc=Lucilla]
0x92: 我证明了斯佩克托是叛徒。[npc=Spektor]
0x93: 我知道马斯滕是叛徒。[npc=Marsten]
0x94: 我知道斯佩克托是叛徒。[npc=Spektor]
0x95: 哈娜用水晶球与我交谈。[npc=Harnna]
0x96: 我告诉别人坎特拉还活着。[npc=Cantra]
0x97: 我问哈娜问得太多了。[npc=Harnna]
0x98: 我被莉迪亚下了毒。[npc=Lydia]
0x99: 我问过布伦丹关于渔网袜的事。[npc=Brendann]
0x9A: 我问过卡拉丁关于骨灰瓮的事。[npc=Caladin]
0x9B: 我问过克雷格关于浮石的事。[npc=Krayg]
0x9C: 我问过露西拉关于丢失戒指的事。[npc=Lucilla]
0x9D: 我问过塞莉亚关于皮帽的事。[npc=Celia]
0x9E: 我问过克雷格关于拖鞋的事。[npc=Krayg]
0x9F: 我问过斯坦达尔关于胸甲的事。[npc=Standarr]
0xA0: 我问过圣殿骑士关于发刷的事。
0xA1: 我问过西蒙关于那瓶怪酒的事。[npc=Simon]
0xA2: 我问过斯佩克托关于奇怪钱币的事。[npc=Spektor]
0xA3: 我问过伦弗莱关于那只手的事。[npc=Renfry]
0xA4: 我问过圣殿骑士关于地精的事。
0xA5: 我宣布不再效忠不列颠王。
0xA6: 我问过克雷格关于废墟的事。[npc=Krayg]
0xA7: 我问过斯佩克托关于格温诺的事。[npc=Spektor]
0xA8: 我问过沙赞娜关于水手的事。[npc=Shazzana]
0xA9: 我知道伊欧洛被关押了。[npc=Iolo]
0xAA: 我与被囚禁的伊欧洛交谈过。[npc=Iolo]
0xAC: 我掌握了监视者盾牌的线索。
0xAD: 布伦丹说卢瑟是吹牛大王。[npc=Brendann,Luther]
0xAE: 露西拉说卢瑟令人厌恶。[npc=Lucilla,Luther]
0xAF: 我说卢瑟是吹牛大王。[npc=Luther]
0xB0: 我说卢瑟令人厌恶。[npc=Luther]
0xB1: 我说卢瑟是恶霸。[npc=Luther]
0xB2: 我拿到了杜普雷的盾牌。[npc=Dupre]
0xB3: 我该告诉斯佩克托叛徒的事。[npc=Spektor]
0xB4: 斯佩克托承认了他的罪行。[npc=Spektor]
0xB5: 马斯滕不肯释放伊欧洛。[npc=Marsten,Iolo]
0xB6: 我知道监视者城有小偷。
0xB7: 杜普雷列出了一份装备清单。[npc=Dupre]
0xB8: 我尝了尝西蒙的酒。[npc=Simon]
0xB9: 我替伊欧洛付了罚金。[npc=Iolo]
0xBA: 我问过斯坦达尔关于任务的事。[npc=Standarr]
0xBB: 我知道卡拉丁是训练师。[npc=Caladin]
0xBC: 我问过坎特拉关于测试的事。[npc=Cantra]
0xBD: 我把伊欧洛的事告诉了马斯滕。[npc=Marsten]
0xBE: 我火葬了那位长枪兵。
0xBF: 监视者城的宴会开始了。
0xC0: 我知道了地精的藏身处。
0xC1: 我拿到了斯佩克托的钥匙。[npc=Spektor]
0xC2: 我中毒了。
0xC4: 布伦丹给了我牢房钥匙。[npc=Brendann]
0xC5: 我知道斯梅德是叛徒。[npc=Shmed]
0xC6: 我找到了坎特拉的父亲。[npc=Cantra]
0xC7: 我告诉哈娜找到了卷轴。[npc=Harnna]
0xC8: 我调配出了棕色瓶子的酒。
0xC9: 皮布死了。[npc=Pibb]
0xCA: 莉迪亚坦白了。[npc=Lydia]
0xCB: 哈娜谈到了瘟疫。[npc=Harnna]
0xCC: 波姆迪尔冈死了。[npc=Pomdirgun]
0xCD: 马斯滕给了我牢房钥匙。[npc=Marsten]

# Banes
0xCF: 阿卡迪翁被封印在剑中。
0xD0: 混乱灾祸被封印在剑中。
0xD1: 放纵灾祸被封印在剑中。
0xD2: 疯狂灾祸被封印在剑中。
0xD3: 放纵灾祸已被消灭。
0xD4: 混乱灾祸已被消灭。
0xD5: 疯狂灾祸已被消灭。

# Moonshade
0xD6: 我遇见了埃内斯托。[npc=Ernesto]
0xD7: 我有了会说话的卷轴。
0xD9: 波索斯回来了。[npc=Pothos]
0xDB: 我有了新的魔法书。
0xDC: 我知道了波索斯的秘密。[npc=Pothos]
0xDD: 我帮助了波索斯。[npc=Pothos]
0xE2: 我拿着冰霜火花时被抓住了。
0xE3: 我完成了闪电实验。
0xE4: 费达比布里奥分析了实验结果。[npc=Fedabiblio]
0xE5: 我有了真理之镜。
0xE6: 我复原了埃德林。[npc=Edrin]
0xE7: 安德里奥谈到了德林。[npc=Andrio]
0xE8: 我将帮助波索斯。[npc=Pothos]
0xE9: 卷轴开口说话了。
0xEA: 我知道绑架者是罗托伦西亚。[npc=Rotoluncia]
0xEB: 自动机械谈到了绑架案。
0xEC: 我可以使用菲尔贝西奥的驳船。[npc=Filbercio]
0xEE: 科伦娜谈到了莫什。[npc=Columna,Mosh]
0xEF: 我相信了莫什的话。[npc=Mosh]
0xF0: 水晶球将显现埃德林。[npc=Edrin]
0xF2: 我知道那桶麦酒就是埃德林。[npc=Edrin]
0xF3: 埃德林梦见希拉努什。[npc=Edrin,Siranush]
0xF4: 我知道安德里奥很害怕。[npc=Andrio]
0xF5: 我知道费达比布里奥变成了石像。[npc=Fedabiblio]
0xF6: 我得到了蛇之卷轴。
0xFA: 斯特凡诺给了我蛇牙。[npc=Stefano]
0xFB: 斯特凡诺谈到了岩蛇。[npc=Stefano]
0xFD: 我得到了美容梳。
0xFE: 杜西奥谈到了古斯塔西奥。[npc=Ducio,Gustacio]
0xFF: 我知道了灵魂宝石的事。
0x103: 我问布西亚问得太多了。[npc=Bucia]
0x104: 蓝蛋是坏的。
0x106: 我掌握了渔网袜的线索。
0x108: 我问过布西亚关于松果的事。[npc=Bucia]
0x10A: 我问过费达比布里奥关于蓝蛋的事。[npc=Fedabiblio]
0x10B: 我掌握了松果的线索。
0x10C: 我掌握了蓝蛋的线索。
0x10E: 我掌握了熊头骨的线索。
0x10F: 我掌握了骨灰瓮的线索。
0x110: 我掌握了实验室器具的线索。
0x111: 我知道杜西奥是工匠。[npc=Ducio]
0x112: 我掌握了浮石的线索。
0x113: 我掌握了丢失戒指的线索。
0x114: 我掌握的拖鞋线索可能不可靠。
0x115: 我掌握了拖鞋的线索。
0x116: 我掌握了奇怪发刷的线索。
0x117: 我掌握了血手的线索。
0x118: 我掌握了盾牌的线索。
0x119: 布西亚谈到了石心。[npc=Bucia]
0x11A: 我掌握了红岩的线索。
0x11B: 我知道塞伦妮娅失踪了。[npc=Celennia]
0x11E: 梅利诺憎恨我。[npc=Melino]
0x11F: 我拒绝帮助波索斯。[npc=Pothos]
0x120: 埃内斯托死了。[npc=Ernesto]
0x121: 我看到了红色闪电。
0x122: 我看到了黄色闪电。
0x123: 我看到了绿色闪电。
0x125: 我得到了与弗丽吉达齐的约会。[npc=Frigidazzi]
0x127: 托里西奥憎恨我。[npc=Torrissio]
0x128: 我目睹了埃德林的变身。[npc=Edrin]
0x12B: 沙米诺被修士们复活了。[npc=Shamino]
0x12D: 我在探寻灵魂陷阱的秘密。
0x130: 弗林多为我安排了大法师的接见。[npc=Flindo]
0x13A: 沙米诺被修士们传送走了。[npc=Shamino]
0x13E: 我与布西亚有约了。[npc=Bucia]
0x140: 我该把绑架的事告诉朱莉娅。[npc=Julia]
0x141: 我该把绑架的事告诉菲尔贝西奥。[npc=Filbercio]
0x142: 托里西奥是绑架案的嫌疑人。[npc=Torrissio]
0x143: 我付钱请朱莉娅调查。[npc=Julia]
0x144: 朱莉娅没有在调查绑架案。[npc=Julia]
0x145: 我知道了艾尔斯塔姆的暗号。[npc=Erstam]
0x146: 我收到了大法师的召见令。
0x147: 我知道了“浪子之友”的事。
0x148: 我要与罗托伦西亚战斗。[npc=Rotoluncia]
0x149: 托克萨复活了斯特凡诺。[npc=Thoxa,Stefano]
0x14A: 我有了鸟笼。
0x14B: 我掌握了寒冰咒。

# Fawn
0x14C: 我掌握了戒指的线索。
0x14D: 德林对我很生气。[npc=Delin]
0x14E: 我清空了福恩塔。
0x14F: 我第一次遇见了福恩城的守卫。
0x155: 我知道詹登见过格温诺。[npc=Jendon,Gwenno]
0x156: 我问过詹登关于恶魔圣物的事。[npc=Jendon]
0x157: 德林谈到了月影镇。[npc=Delin]
0x158: 我问过德林关于巴特林的事。[npc=Delin]
0x15B: 约尔文知道我不是监视者城的人。[npc=Jorvin]
0x15C: 我获得了与耶琳达会面的机会。[npc=Yelinda]
0x15D: 卡伦死了。[npc=Kalen]
0x15E: 凯莉丝塔被抓住了。[npc=Kylista]
0x164: 奥隆谈到了风暴。[npc=Olon]
0x165: 奥隆需要喝一杯。[npc=Olon]
0x166: 我按下了地震开关。
0x167: 我拒绝了拉格斯的信。[npc=Ruggs]
0x168: 我第一次遇见了拉格斯。[npc=Ruggs]
0x169: 斯科茨谈到了圣环教。[npc=Scots]
0x16A: 斯科茨谈到了利昂。[npc=Scots,Leon]
0x16B: 我按下了让神谕开口的开关。
0x16C: 我按下了神谕的1号开关。
0x16D: 我按下了神谕的2号开关。
0x170: 福恩城的审判正在进行。
0x171: 福恩城的审判休庭了。
0x172: 福恩城的审判结束了。
0x176: 阿莉桑德在审判中发言了。[npc=Alyssand]
0x177: 德林在审判中发言了。[npc=Delin]
0x178: 德尔菲妮娅在审判中发言了。[npc=Delphynia]
0x179: 詹登在审判中发言了。[npc=Jendon]
0x17A: 约尔文在审判中发言了。[npc=Jorvin]
0x17B: 沃尔丁在审判中发言了。[npc=Voldin]
0x17C: 凯莉丝塔在审判中发言了。[npc=Kylista]
0x17D: 利昂和乔思在审判中发言了。[npc=Leon,Joth]
0x17E: 奥隆在审判中发言了。[npc=Olon]
0x17F: 拉格斯和加思在审判中发言了。[npc=Ruggs,Garth]
0x180: 斯科茨在审判中发言了。[npc=Scots]
0x181: 耶琳达在审判中发言了。[npc=Yelinda]
0x182: 祖利思在审判中发言了。[npc=Zulith]
0x187: 我收到了福恩审判的传票。
0x189: 我知道了福恩之名的含义。
0x18A: 耶琳达谈到了神谕。[npc=Yelinda]
0x18B: 伊欧洛唱起了福恩之歌。[npc=Iolo]
0x18C: 福恩城遭遇了最初的暴风。
0x18D: 德林谈到了弗雷莉。[npc=Delin,Freli]
0x18E: 祖利思在跟踪我们。[npc=Zulith]
0x18F: 祖利思跟踪被抓了个正着。[npc=Zulith]
0x190: 伊欧洛唱完了福恩之歌。[npc=Iolo]
0x191: 我从奥隆那里掌握了松果的线索。[npc=Olon]
0x192: 我掌握了月丝绸袜的线索。
0x193: 我问过德尔菲妮娅关于器具的事。[npc=Delphynia]
0x194: 我问过德尔菲妮娅关于浮石的事。[npc=Delphynia]
0x195: 我问过德林关于皮帽的事。[npc=Delin]
0x196: 我问过德林关于拖鞋的事。[npc=Delin]
0x197: 我问过德尔菲妮娅关于蓝蛋的事。[npc=Delphynia]
0x198: 我问过约尔文关于奇怪发刷的事。[npc=Jorvin]
0x199: 我掌握了死猫的线索。
0x19A: 詹登谈到了奇怪的钱币。[npc=Jendon]
0x19B: 我问过约尔文关于头骨的事。[npc=Jorvin]
0x19C: 我问过约尔文关于盾牌的事。[npc=Jorvin]
0x19D: 我问过德尔菲妮娅关于发光岩石的事。[npc=Delphynia]
0x19E: 我问过阿莉桑德关于渔网袜的事。[npc=Alyssand]
0x19F: 詹登谈到了监视者城。[npc=Jendon]
0x1A0: 我问詹登问得太多了。[npc=Jendon]
0x1A3: 我送出了拉格斯的信。[npc=Ruggs]
0x1A4: 我拿回了护手。
0x1A5: 德尔菲妮娅谈到了瓦罗叶。[npc=Delphynia]
0x1A6: 我抓住了沃尔丁。[npc=Voldin]
0x1A7: 我有了德尔菲妮娅的信。[npc=Delphynia]
0x1A9: 我问过奥隆关于格瓦尼的事。[npc=Olon]
0x1AA: 詹登谈到了奇怪的物品。[npc=Jendon]
0x1AB: 审判中我问过詹登关于野人的事。[npc=Jendon]
0x1AC: 审判中我问过德林关于皮帽的事。[npc=Delin]
0x1AD: 审判中我问过詹登关于奇怪物品的事。[npc=Jendon]
0x1AE: 审判中我问过德尔菲妮娅关于瓦罗叶的事。[npc=Delphynia]
0x1AF: 审判中我问过阿莉桑德关于戒指的事。[npc=Alyssand]
0x1B0: 祖利思在审判前就发过言。[npc=Zulith]
0x1B1: 我知道耶琳达的钻石项链。[npc=Yelinda]
0x1B2: 祖利思谈到了戒指。[npc=Zulith]
0x1B4: 阿莉桑德对我有好感。[npc=Alyssand]
0x1B5: 我获得了耶琳达的接见。[npc=Yelinda]
0x1B6: 约尔文召见了我。[npc=Jorvin]

# Mad Mage
0x1BB: 博伊登还活着。[npc=Boydon]
0x1BC: 我有了凤凰蛋。
0x1BD: 我拿到了颚骨。
0x1BE: 艾尔斯塔姆谈到了传送术。[npc=Erstam]
0x1C1: 瓦塞尔谈到了颚骨。[npc=Vasel]
0x1C5: 艾尔斯塔姆的实验完成了。[npc=Erstam]
0x1C6: 艾尔斯塔姆完成了永生研究。[npc=Erstam]
0x1C8: 艾尔斯塔姆谈到了干扰。[npc=Erstam]

# Sleeping Bull
0x1CA: 我问过圣殿骑士阿尔戈斯。[npc=Argus]
0x1CF: 我问过塞琳娜关于钥匙的事。[npc=Selina]
0x1D3: 我听到了贝娅特丽克丝之歌。[npc=Beatrix]
0x1D4: 我听到了山之歌。
0x1D5: 我听到了格瓦尼之歌。
0x1D6: 我听到了森林之主之歌。
0x1D7: 我听到了梦境之歌。
0x1D8: 我听到了白龙之歌。
0x1D9: 我听到了阿尔戈斯的指控。[npc=Argus]
0x1E0: 总开关已经启动。
0x1E4: 德芙拉谈到了安格斯失踪的事。[npc=Devra,Angus]
0x1E5: 塞琳娜给了我钥匙。[npc=Selina]
0x1E8: 我打开了造币厂的门。
0x1E9: 我还回了拖鞋。

# Furnace
0x1EE: 沙米诺的复制体按下了“性别”按钮。[npc=Shamino]
0x1EF: 我拒绝了纯洁考验。
0x1F0: 我否认了生命。
0x1F1: 我否认了家庭。
0x1F2: 我否认了家园。
0x1F3: 我开始了蠕虫考验。
0x1F4: 我杀死了第一只蠕虫。
0x1F5: 我杀死了四只蠕虫。
0x1F6: 我杀死了七只蠕虫。
0x1F7: 我杀死了九只蠕虫。
0x1F8: 我通过了蠕虫考验。
0x1FB: 我开始了纯洁考验。
0x202: 我抵达了沙米诺复制体的考验。[npc=Shamino]
0x203: 我尝试了伊欧洛复制体的考验。[npc=Iolo]
0x204: 我尝试了沙米诺复制体的考验。[npc=Shamino]
0x205: 我尝试了杜普雷复制体的考验。[npc=Dupre]
0x207: 我得到了蛇之戒指。
0x208: 竞技场之战开始了。

# Gorlab swamp and Dream Realm
0x20D: 我拒绝了希拉努什。[npc=Siranush]
0x20E: 希拉努什谈到了勇气圣物。[npc=Siranush]
0x20F: 希拉努什谈到了爱之圣物。[npc=Siranush]
0x210: 希拉努什谈到了真理圣物。[npc=Siranush]
0x211: 我完成了梦境任务。
0x213: 埃德林知道希拉努什是真实存在的。[npc=Edrin,Siranush]

#Temples
0x214: 我拒绝了莫特格罗。[npc=Mortegro]
0x215: 我释放了莫特格罗。[npc=Mortegro]
0x216: 莫特格罗向我道谢。[npc=Mortegro]
0x217: 我通过了伦理考验的第一关。
0x218: 我通过了伦理考验的第二关。
0x219: 我通过了伦理考验的第三关。
0x21A: 我从未在考验中屈服。
0x21B: 我通过了伦理考验。
0x21C: 我在考验中救下了着火的人。
0x21D: 我在考验中留下了金钱。
0x21E: 巴特林也出现在了伦理考验中。[npc=Batlin]
0x21F: 我在考验中拒绝屈服。
0x220: 我得到了纪律之水。
0x221: 我得到了伦理之水。
0x222: 我得到了逻辑之水。
0x223: 我得到了情感之水。
0x224: 我得到了热情之水。
0x225: 我得到了宽容之水。
0x228: 我以男性身份通过了考验。
0x229: 我第一次尝试进入。
0x22A: 我第二次尝试进入。
0x22B: 我与混沌祭司交谈过。
0x22C: 我正在经历反沙米诺幻象。[npc=Shamino]
0x22D: 我经历了反沙米诺幻象。[npc=Shamino]
0x22E: 谜题中我第一个选了红色。
0x22F: 谜题中我第四个选了红色。
0x230: 谜题中我第二个选了黄色。
0x231: 谜题中我第三个选了蓝色。
0x232: 谜题中我最后选了白色。
0x233: 我解开了谋杀之谜。

# Mountains of Freedom
0x234: 我得到了黑剑。
0x236: 泰尔德罗诺被变成了鸡。[npc=Teldrono]
0x237: 泰尔德罗诺被变成了熊。[npc=Teldrono]
0x238: 我按下了两个开关。
0x239: 我逃出了自由之山。
0x23A: 阿卡迪翁自由了。[npc=Arcadion]
0x23B: 我遇见了自由之山的看守者。

# Skullcrusher
0x23E: 我在混沌圣坛放置了混沌黑岩蛇。
0x23F: 我放置了无序之魂棱镜。
0x240: 我放置了放纵之魂棱镜。
0x241: 我放置了疯狂之魂棱镜。
0x242: 我安放了杜普雷的骨灰。[npc=Dupre]
0x243: 我放置了第一枚符文（I）。
0x244: 我放置了第二枚符文（S）。
0x245: 我放置了第三枚符文（C）。
0x246: 我放置了第四枚符文（G）。
0x247: 我放置了第五枚符文（I）。
0x248: 瓦斯库里奥苏醒了。[npc=Vasculio]
0x24A: 森卡将要到来。[npc=Xenka]
0x24B: 我炸开了通往混沌圣坛的大门。
0x24C: 我得到了墓穴岛之牙。

# Spinebreaker
0x250: 我经历了碎脊者幻象。
0x253: 布伦特与我交谈了。[npc=Brunt]
0x254: 帕洛斯与我交谈了。[npc=Palos]
0x255: 独眼龙与我交谈了。[npc=Deadeye]
0x256: 我打开了通往布伦特的门。[npc=Brunt]
0x257: 我打开了通往帕洛斯之门。[npc=Palos]
0x258: 我打开了通往独眼龙之门。[npc=Deadeye]
0x259: 我进了卧室。
0x25B: 贝娅特丽克丝受到了保护。[npc=Beatrix]
0x25C: 贝娅特丽克丝原谅了沙米诺。[npc=Beatrix,Shamino]

# Gwani
0x25D: 猎犬追踪到了巴特林。[npc=Batlin]
0x25F: 我解放了格温诺的身体。[npc=Gwenno]
0x260: 我救下了内约比。[npc=Neyobi]
0x262: 我与格瓦尼人谈过格温诺的事。[npc=Gwenno]
0x263: 哈扎德死了。[npc=Hazard]
0x264: 拜扬达给了我水桶。[npc=Baiyanda]
0x265: 我知道了碎颅者之地的口令。

# Monk Isle
0x267: 我在寻找蛇之卷轴。
0x268: 我知道了蠕虫宝石的事。
0x269: 我知道了治愈失衡的方法。
0x26A: 格温诺死了。[npc=Gwenno]
0x26B: 我知道了森卡的事。[npc=Xenka]
0x26C: 我正确调整了盐潮。
0x26D: 我有了新鲜的曼德拉草。
0x26E: 我知道了盐潮的事。
0x26F: 我死了。
0x271: 森卡归来的时机到了。[npc=Xenka]
0x272: 我正在促成森卡归来。[npc=Xenka]
0x273: 我向佩特拉展示了幻象。[npc=Petra]
0x274: 卡纳克斯持有蛇之卷轴。[npc=Karnax]
0x275: 伊欧洛与格温诺重逢了。[npc=Iolo,Gwenno]
0x276: 森卡交给了我最终的任务。[npc=Xenka]

# Isle of Crypts
0x279: 我与大祭司交谈过。

# Teleport Storms
0x28C: 我知道了松果的主人。
0x28D: 我知道了月丝绸袜的主人。
0x28E: 我知道了骨灰瓮的来历。
0x28F: 我知道了实验室器具的主人。
0x290: 我知道了浮石的来历。
0x291: 我知道了戒指的主人。
0x292: 我知道了皮帽的主人。
0x293: 我知道了拖鞋的主人。
0x294: 我知道了胸甲的主人。
0x295: 我知道了蓝蛋的主人。
0x296: 我知道了地精发刷的来历。
0x297: 我知道了冰酒的来历。
0x298: 我知道了死猫的来历。
0x29A: 我知道了熊头骨的来历。
0x29B: 我知道了断手的主人。
0x29C: 我知道了监视者盾牌的来历。
0x29D: 我知道了石心的来历。
0x29E: 我知道浮石来自熔岩。
0x29F: 我听说了熔炉要塞的事。
0x2A0: 我掌握了皮帽的线索。
0x2A1: 我知道弗丽吉达齐深受欢迎。[npc=Frigidazzi]
0x2A2: 沙米诺列出了一份装备清单。[npc=Shamino]
0x2A3: 沙米诺给了我提示。[npc=Shamino]

# Sunrise Isle
0x2A4: 天平的顶端已平衡。
0x2A5: 天平的底端已平衡。
0x2A6: 我放置了秩序黑岩蛇以平衡。
0x2A7: 我放置了平衡黑岩蛇以平衡。
0x2A8: 我放置了混沌黑岩蛇以平衡。
0x2A9: 我放置了火焰宝石。
0x2AA: 我放置了冰之钻石。
0x2AB: 我放置了圣物之花。
0x2AC: 我放置了圣物之火炬。
0x2AD: 我放置了圣物金链。
0x2AE: 我放置了圣物匕首。
0x2AF: 我放置了圣物算盘。
0x2B0: 我放置了圣物之心。
0x2B1: 我得到了秩序之蛇眼。
0x2B2: 我融化了冰墙。
0x2B3: 我架起了熔岩桥。
0x2B4: 我放置了第一块冰立方。
0x2B5: 我放置了第二块冰立方。
0x2B6: 我放置了第一块火立方。
0x2B7: 我放置了第二块火立方。
0x2B8: 我放置了所有蛇像。

# Thoxa
0x2C2: 托克萨谈到了力量。[npc=Thoxa]
0x2C3: 托克萨谈到了同伴。[npc=Thoxa]

# Inn
0x2C4: 我在旅店扳动了第一个开关。
0x2C5: 我在旅店扳动了第二个开关。
0x2C6: 我在旅店扳动了第三个开关。
0x2C7: 我在旅店扳动了第四个开关。
0x2C8: 旅店治好了我们的伤。
0x2C9: 旅店的开关全部扳动了。
0x2CA: 旅店让队伍神清气爽。
0x2CB: 旅店让队伍欢欣鼓舞。

# Temple of Emotion
0x2CC: 我制作了快乐磁石。

# Party
0x2D1: 我上床睡觉了。
0x2D3: 伊欧洛离开了偷窃的我。[npc=Iolo]
0x2D4: 杜普雷离开了偷窃的我。[npc=Dupre]
0x2D5: 沙米诺离开了偷窃的我。[npc=Shamino]

# Great Earth Serpent Speeches
0x2D9: 平衡之蛇问我是谁。
0x2DA: 平衡之蛇说我们曾见过。
0x2DB: 梦境国度已完成。
0x2DC: 蛇谈到了格瓦尼号角。
0x2DD: 蛇谈到了格温诺之灾。[npc=Gwenno]
0x2DE: 我被告知要安放骨灰。
0x2DF: 我被告知要杀死瓦斯库里奥。[npc=Vasculio]
0x2E1: 我被告知要解放格温诺。[npc=Gwenno]
0x2E2: 巴特林逃离了沙米诺堡垒。[npc=Batlin]
0x2E3: 我被告知要毁掉雕像。
0x2E4: 我被告知要放置蛇眼。
0x2E5: 我被认可为有资格者。
0x2E6: 黑岩蛇还没有找齐。
0x2E7: 祭司的圣物还没有找齐。

# Silver Seed
0x2E8: 我戴着力量腰带。
0x2E9: 我从力量腰带中获得了历练。
0x2F9: 我得到了迅捷护手。
0x314: 我使用了铁处女。
0x315: 我从魔法药草戒指中获得了历练。
